Protein	Description	Gene	tenE_ECDdel293	tenK_ECDdel293	FC	Pvalue	log2FC	Sig	UPDOWN
O00629	Importin subunit alpha-3	KPNA4	1125400	1514160.83858361	0.743249971418315	0.308104775591046	-0.428080592233294	Nonsignificant	None
O00743	Serine/threonine-protein phosphatase 6 catalytic subunit	PPP6C	501050	1028795.05183897	0.487026059373413	0.155722145103725	-1.03792912602337	Nonsignificant	None
O00764	Pyridoxal kinase	PDXK	311800	103989.106301886	2.99839099583016	0.144993692526821	1.58418852570223	Nonsignificant	None
O14490	Disks large-associated protein 1	DLGAP1	92834	166334.289729029	0.558117031378398	0.198358398849155	-0.841360422858094	Nonsignificant	None
O14545	TRAF-type zinc finger domain-containing protein 1	TRAFD1	85425	166842.503981543	0.512009817411097	0.170618029432726	-0.965756621782175	Nonsignificant	None
O14558	Heat shock protein beta-6	HSPB6	300810	125401.866807805	2.39876811771097	0.206886949926808	1.26229370302641	Nonsignificant	None
O14561	Acyl carrier protein, mitochondrial	NDUFAB1	500690	254435.347961699	1.96784764385556	0.273089622657488	0.976618527606676	Nonsignificant	None
O14579	Coatomer subunit epsilon	COPE	1664700	460950.327030109	3.6114520424047	0.104016966234698	1.85257901250996	Nonsignificant	None
P47813	Eukaryotic translation initiation factor 1A, X-chromosomal	EIF1AX	127390	59943.8710840147	2.12515471050336	0.2461925024441	1.08756787275685	Nonsignificant	None
O14617	AP-3 complex subunit delta-1	AP3D1	280270	143062.312082663	1.95907640467922	0.274695648390184	0.97017366432439	Nonsignificant	None
O14641	Segment polarity protein dishevelled homolog DVL-2	DVL2	67294	359688.637216714	0.187089590932657	0.0150540160206337	-2.41819880102048	Significant	down
O14646	Chromodomain-helicase-DNA-binding protein 1	CHD1	42833	50788.6030809153	0.843358497806277	0.363736375570243	-0.245782067439498	Nonsignificant	None
O14654	Insulin receptor substrate 4	IRS4	2358600	5135505.02165298	0.459273234093895	0.139378096852432	-1.12257538745566	Nonsignificant	None
O14735	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	CDIPT	49619	103055.262612892	0.481479535755341	0.152436059134295	-1.05445361414302	Nonsignificant	None
O14737	Programmed cell death protein 5	PDCD5	478570	27769.6737811138	17.2335477820944	0.00160894474975142	4.10714782725415	Significant	up
O14744	Protein arginine N-methyltransferase 5	PRMT5	3497900	5427198.8270021	0.644512963593078	0.250306624134856	-0.633718717955432	Nonsignificant	None
O14745	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	NHERF1	150320	1335.01531457246	112.597959258722	3.30519596412323e-07	6.81503686982163	Significant	up
O14773	Tripeptidyl-peptidase 1	TPP1	663230	1472762.55259758	0.450330570145357	0.134171549415442	-1.15094367827774	Nonsignificant	None
O14782	Kinesin-like protein KIF3C	KIF3C	5725300	3103283.27941301	1.84491697486378	0.296720897886646	0.883555893441537	Nonsignificant	None
O14787	Transportin-2	TNPO2	522620	536070.74622982	0.974908635988032	0.431217409779039	-0.036661072520628	Nonsignificant	None
O14802	DNA-directed RNA polymerase III subunit RPC1	POLR3A	12248	171458.783441878	0.0714340773574419	0.000430364718144003	-3.8072437190756	Significant	down
O14818	Proteasome subunit alpha type-7	PSMA7	2337400	892487.754195975	2.6189715085847	0.180861465477781	1.38900036490151	Nonsignificant	None
O14828	Secretory carrier-associated membrane protein 3	SCAMP3	560960	583482.900870596	0.961399210093406	0.424598601395241	-0.0567924767608301	Nonsignificant	None
O14880	Glutathione S-transferase 3, mitochondrial	MGST3	68610	25279.4239437957	2.71406501004699	0.170905896064307	1.44045527807037	Nonsignificant	None
O14893	Gem-associated protein 2	GEMIN2	239970	119652.693076242	2.00555452477022	0.2663183365883	1.00400118906257	Nonsignificant	None
O14907	Tax1-binding protein 3	TAX1BP3	16541	310497.732692139	0.0532725307092678	0.000113417634087869	-4.2304643720822	Significant	down
O14908	PDZ domain-containing protein GIPC1	GIPC1	109040	42307.7777420896	2.57730388640863	0.185454310002256	1.36586265344403	Nonsignificant	None
Q5SRD1	Mitochondrial import inner membrane translocase subunit Tim23B	TIMM23B	80386	104782.132291746	0.767172782628439	0.321705087128284	-0.382376556835157	Nonsignificant	None
O14929	Histone acetyltransferase type B catalytic subunit	HAT1	206300	209987.776460588	0.982438137482349	0.434875122933395	-0.025561528795809	Nonsignificant	None
O14936	Peripheral plasma membrane protein CASK	CASK	225130	376427.94415889	0.598069307800838	0.222455290264433	-0.741615412760598	Nonsignificant	None
P19105	Myosin regulatory light chain 12A	MYL12A	5884300	1874569.44599138	3.13901414139824	0.134010787529994	1.65031152833996	Nonsignificant	None
O14964	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	277250	64255.221992841	4.31482440494704	0.0733760516125434	2.10930184902954	Nonsignificant	None
O14974	Protein phosphatase 1 regulatory subunit 12A	PPP1R12A	343450	172358.746180704	1.99264619643915	0.2686123682732	0.994685575729066	Nonsignificant	None
O14976	Cyclin-G-associated kinase	GAK	231340	1188480.20509761	0.194651958869605	0.0169706683083255	-2.36103123164452	Significant	down
O14979	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	22422000	32410305.1743813	0.691816997074235	0.278295710230131	-0.531537635536925	Nonsignificant	None
O14980	Exportin-1	XPO1	1939300	1914167.80649976	1.01312956649616	0.449552747044586	0.0188186884414093	Nonsignificant	None
O15013	Rho guanine nucleotide exchange factor 10	ARHGEF10	145100	264165.533337955	0.5492768044587	0.193026097110785	-0.864394725657893	Nonsignificant	None
O15027	Protein transport protein Sec16A	SEC16A	11969000	10583561.808602	1.13090471964476	0.497811551339753	0.177477385307872	Nonsignificant	None
O15031	Plexin-B2	PLXNB2	15416	28772.338150136	0.535792396139593	0.184901111373879	-0.900253988006328	Nonsignificant	None
O15042	U2 snRNP-associated SURP motif-containing protein	U2SURP	3585200	2571564.11772034	1.39417095428219	0.40849247884236	0.479407476395171	Nonsignificant	None
O15067	Phosphoribosylformylglycinamidine synthase	PFAS	66978	20371.9800679583	3.28775110600786	0.123511651988208	1.71710108620952	Nonsignificant	None
O15078	Centrosomal protein of 290 kDa	CEP290	375320	184757.056382658	2.0314244410923	0.261794485619876	1.0224917044712	Nonsignificant	None
O15084	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANKRD28	847390	1832324.13625116	0.462467302173793	0.141245525735324	-1.11257672852179	Nonsignificant	None
O15118	NPC intracellular cholesterol transporter 1	NPC1	72580	36083.211928487	2.01146173305873	0.265276740732086	1.00824429175348	Nonsignificant	None
O15143	Actin-related protein 2/3 complex subunit 1B	ARPC1B	2083600	743273.932098509	2.8032733424638	0.162187854320104	1.48711242599373	Nonsignificant	None
O15144	Actin-related protein 2/3 complex subunit 2	ARPC2	1050500	678391.912527567	1.54851492271779	0.365130720160626	0.630885286033059	Nonsignificant	None
O15145	Actin-related protein 2/3 complex subunit 3	ARPC3	480240	212835.893834051	2.25638632351386	0.226263309155974	1.17401409756927	Nonsignificant	None
O15160	DNA-directed RNA polymerases I and III subunit RPAC1	POLR1C	169390	262545.600408067	0.645183159560556	0.250706271841884	-0.63221931283452	Nonsignificant	None
O15173	Membrane-associated progesterone receptor component 2	PGRMC2	79907	90232.3817541505	0.885568999139541	0.386116639763244	-0.175323375896254	Nonsignificant	None
O15212	Prefoldin subunit 6	PFDN6	8746.8	62075.1946054949	0.140906525635374	0.00601364624549794	-2.82718966788291	Significant	down
O15226	NF-kappa-B-repressing factor	NKRF	224270	566807.120709984	0.39567251681503	0.103241486847708	-1.33762123486272	Nonsignificant	None
O15228	Dihydroxyacetone phosphate acyltransferase	GNPAT	326570	565801.280001883	0.577181444338396	0.209862295671221	-0.792903175154034	Nonsignificant	None
O15231	Zinc finger protein 185	ZNF185	27552	2827.68292539349	9.7436667147417	0.00989007497815556	3.28446478623966	Significant	up
O15258	Protein RER1	RER1	338210	83917.8196666653	4.03025247013594	0.0841878514283662	2.01087021741435	Nonsignificant	None
O15260	Surfeit locus protein 4	SURF4	559930	464221.956280667	1.20616871396205	0.470089526996872	0.270431719652999	Nonsignificant	None
O15269	Serine palmitoyltransferase 1	SPTLC1	973430	1090648.96148869	0.892523657356542	0.389739096357464	-0.164037684962849	Nonsignificant	None
O15270	Serine palmitoyltransferase 2	SPTLC2	87948	256256.449033207	0.343203069939533	0.0756063306345696	-1.54286563713519	Nonsignificant	None
O15294	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	OGT	18241	2364.04329794383	7.71601772939838	0.01882692600194	2.94785645832814	Significant	up
O15305	Phosphomannomutase 2	PMM2	96426	47315.805688737	2.03792366200695	0.260673194679763	1.02710001101958	Nonsignificant	None
O15321	Transmembrane 9 superfamily member 1	TM9SF1	99520	205180.91665556	0.485035361095816	0.154541738444786	-1.04383816528262	Nonsignificant	None
O15344	E3 ubiquitin-protein ligase Midline-1	MID1	107180	381584.201262521	0.28088164983084	0.0467237317415396	-1.83196571948962	Significant	down
O15355	Protein phosphatase 1G	PPM1G	539030	1078790.62893003	0.499661366668176	0.163238228011215	-1.00097742028146	Nonsignificant	None
O15371	Eukaryotic translation initiation factor 3 subunit D	EIF3D	1465100	1665778.09058359	0.879528917016021	0.38295550882902	-0.185197083705422	Nonsignificant	None
O15372	Eukaryotic translation initiation factor 3 subunit H	EIF3H	509910	1042527.42445378	0.489109435434911	0.156958661022605	-1.03177079884005	Nonsignificant	None
O15397	Importin-8	IPO8	307510	747138.477977	0.411583674331208	0.112061209466846	-1.28074233672866	Nonsignificant	None
O15400	Syntaxin-7	STX7	263140	66230.9048994888	3.97306967795983	0.0865966673945963	1.99025409500306	Nonsignificant	None
O15460	Prolyl 4-hydroxylase subunit alpha-2	P4HA2	4932000	1942119.59038802	2.53949346086078	0.189750206768907	1.34454075905183	Nonsignificant	None
O15498	Synaptobrevin homolog YKT6	YKT6	324120	74835.6074623648	4.33109332563381	0.0728121260088021	2.11473125967828	Nonsignificant	None
O43143	ATP-dependent RNA helicase DHX15	DHX15	3824800	5404435.06360825	0.707715044215257	0.287586781784105	-0.498759507249059	Nonsignificant	None
O43148	mRNA cap guanine-N7 methyltransferase	RNMT	687190	1900721.30440199	0.361541693886682	0.0849790461205045	-1.46776606293917	Nonsignificant	None
O43156	TELO2-interacting protein 1 homolog	TTI1	49535	67666.6101628405	0.732044946256262	0.301674169073899	-0.449995864751911	Nonsignificant	None
O43164	E3 ubiquitin-protein ligase Praja-2	PJA2	245310	391176.745278721	0.627107830311365	0.239902238686742	-0.67321456114235	Nonsignificant	None
O43169	Cytochrome b5 type B	CYB5B	390950	5223.80724802727	74.8400508360333	2.92841658059494e-06	6.2257386334349	Significant	up
O43172	U4/U6 small nuclear ribonucleoprotein Prp4	PRPF4	2406100	4862975.1287424	0.494779417188225	0.160329575491156	-1.01514260940355	Nonsignificant	None
O43175	D-3-phosphoglycerate dehydrogenase	PHGDH	3293600	2955901.14618398	1.1142456520415	0.495293976859676	0.156067331342851	Nonsignificant	None
O43237	Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2	498020	59739.5266033164	8.3365240455781	0.01530495766279	3.05944597029797	Significant	up
O43242	26S proteasome non-ATPase regulatory subunit 3	PSMD3	1476100	638782.964222265	2.31080051077629	0.218598414209363	1.20839271868211	Nonsignificant	None
O43251	RNA binding protein fox-1 homolog 2	RBFOX2	142660	241179.426208629	0.5915098242111	0.21850326592764	-0.757525964829597	Nonsignificant	None
O43264	Centromere/kinetochore protein zw10 homolog	ZW10	244230	309523.655374821	0.789051162193878	0.33398109930356	-0.341809247056277	Nonsignificant	None
O43290	U4/U6.U5 tri-snRNP-associated protein 1	SART1	830930	368677.676808054	2.2538115331366	0.226634337442555	1.17236688038271	Nonsignificant	None
O43292	Glycosylphosphatidylinositol anchor attachment 1 protein	GPAA1	58264	106195.603181551	0.548647950145284	0.192646912804685	-0.866047380076717	Nonsignificant	None
O43324	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	643010	502602.720142394	1.279360366012	0.444865390742155	0.355422695048265	Nonsignificant	None
O43347	RNA-binding protein Musashi homolog 1	MSI1	981580	2473732.87411142	0.396801130094772	0.103861271707029	-1.33351196034251	Nonsignificant	None
O43390	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	12211000	10959428.5995237	1.11420042469465	0.495274404025845	0.156008771012664	Nonsignificant	None
O43395	U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3	1063100	1970177.25224556	0.539596119480267	0.187191629065188	-0.890048121743333	Nonsignificant	None
O43396	Thioredoxin-like protein 1	TXNL1	127800	43750.8944632905	2.92108313596266	0.151516986351229	1.54650341880874	Nonsignificant	None
O43399	Tumor protein D54	TPD52L2	534940	209373.6842388	2.55495336935408	0.187978668567442	1.35329696066758	Nonsignificant	None
O43488	Aflatoxin B1 aldehyde reductase member 2	AKR7A2	227480	47314.7469090442	4.80780337760863	0.0584529593408731	2.26537789605963	Nonsignificant	None
O43491	Band 4.1-like protein 2	EPB41L2	472590	171839.944131263	2.7501754751445	0.167307303974155	1.4595236728352	Nonsignificant	None
O43493	Trans-Golgi network integral membrane protein 2	TGOLN2	33475	15997.1023775678	2.09256646672093	0.25148080810568	1.06527344819294	Nonsignificant	None
O43504	Ragulator complex protein LAMTOR5	LAMTOR5	66609	9974.86936324733	6.6776814386585	0.0272668869525251	2.73934727072511	Significant	up
O43505	Beta-1,4-glucuronyltransferase 1	B4GAT1	61558	8357.58338259111	7.36552627500261	0.0212589486722398	2.88078861110104	Significant	up
O43583	Density-regulated protein	DENR	183930	81850.0229267493	2.24715880855166	0.227596557357025	1.16810208455964	Nonsignificant	None
O43592	Exportin-T	XPOT	301780	118953.898479035	2.53694922031653	0.190043767107105	1.34309464264557	Nonsignificant	None
O43615	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44	219270	232253.913398853	0.944096040368734	0.416015919297896	-0.0829944663214917	Nonsignificant	None
O43639	Cytoplasmic protein NCK2	NCK2	95067	35137.7216628726	2.70555390335538	0.171768272192856	1.43592398474259	Nonsignificant	None
O43660	Pleiotropic regulator 1	PLRG1	177620	465068.980034857	0.381921838748926	0.0957676051689282	-1.38865067753504	Nonsignificant	None
O43670	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207	242370	4046.33835173412	59.898599408062	8.89079880350702e-06	5.90445036416742	Significant	up
O43681	ATPase GET3	GET3	581520	494714.811431501	1.175465109519	0.481173932589265	0.233231717152605	Nonsignificant	None
O43684	Mitotic checkpoint protein BUB3	BUB3	792610	840755.778408831	0.94273512041755	0.415335877168508	-0.0850756199995741	Nonsignificant	None
O43707	Alpha-actinin-4	ACTN4	22608000	7774089.89392359	2.90812176196611	0.152646692725478	1.54008767562171	Nonsignificant	None
O43719	17S U2 SnRNP complex component HTATSF1	HTATSF1	1197300	2621856.15312536	0.456661208729079	0.137853937580164	-1.13080385027962	Nonsignificant	None
O43747	AP-1 complex subunit gamma-1	AP1G1	62007	276299.148616724	0.224419801184457	0.0256624610734574	-2.15572812032075	Significant	down
O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	SGTA	497500	394321.320966151	1.26166142571506	0.450813892387228	0.335324806535613	Nonsignificant	None
O43776	Asparagine--tRNA ligase, cytoplasmic	NARS1	1722100	2080396.21825951	0.827775009820357	0.355306170090853	-0.272689400018665	Nonsignificant	None
O43795	Unconventional myosin-Ib	MYO1B	1346800	834297.222283134	1.61429280120861	0.348383110616403	0.690902279073981	Nonsignificant	None
O43809	Cleavage and polyadenylation specificity factor subunit 5	NUDT21	568030	584414.627000205	0.971964036758787	0.42978087619079	-0.0410251606340938	Nonsignificant	None
O43813	Glutathione S-transferase LANCL1	LANCL1	277270	138033.108542161	2.00872097229709	0.265759370616789	1.00627717589757	Nonsignificant	None
O43815	Striatin	STRN	166720	146969.209148864	1.13438727040526	0.496487326846125	0.18191324849204	Nonsignificant	None
O43818	U3 small nucleolar RNA-interacting protein 2	RRP9	1839600	2578234.42978459	0.713511532833613	0.290957916626053	-0.486991346016886	Nonsignificant	None
O43823	A-kinase anchor protein 8	AKAP8	2994600	4288587.14543241	0.698271924633599	0.282075841897056	-0.518139127329382	Nonsignificant	None
O43837	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	IDH3B	431500	642891.029430086	0.671186842321503	0.266147592251631	-0.575213660849165	Nonsignificant	None
O43847	Nardilysin	NRDC	36464	73064.2690364153	0.499067471431574	0.162884094991268	-1.00269322096922	Nonsignificant	None
O43852	Calumenin	CALU	6462200	2924561.26727896	2.20963057683264	0.233122072453034	1.14380518883767	Nonsignificant	None
O43865	S-adenosylhomocysteine hydrolase-like protein 1	AHCYL1	512400	405364.393161401	1.26404787555177	0.450006293565146	0.338051106326008	Nonsignificant	None
O43933	Peroxisomal ATPase PEX1	PEX1	62385	138467.208216183	0.450539884523424	0.134293030480822	-1.15027326707912	Nonsignificant	None
O60218	Aldo-keto reductase family 1 member B10	AKR1B10	1810000	625198.820764445	2.89507903707635	0.153794247932249	1.53360273503372	Nonsignificant	None
O60220	Mitochondrial import inner membrane translocase subunit Tim8 A	TIMM8A	155520	38224.0644672018	4.06864110784043	0.082617810620839	2.02454702684212	Nonsignificant	None
O60231	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	DHX16	227800	148483.264109478	1.53417963543717	0.368911751768867	0.617467416335923	Nonsignificant	None
O60256	Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2	186270	176964.437844111	1.05258436253778	0.467875644466411	0.0739358670564001	Nonsignificant	None
O60264	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	SMARCA5	55059	9093.01175716644	6.0550894984389	0.0346153699945656	2.59814828411444	Significant	up
O60271	C-Jun-amino-terminal kinase-interacting protein 4	SPAG9	936280	448319.085295753	2.08842324743401	0.252163365495487	1.06241412335177	Nonsignificant	None
O60306	RNA helicase aquarius	AQR	297400	295007.785787393	1.00810898670427	0.4471772009565	0.0116516170899654	Nonsignificant	None
O60313	Dynamin-like GTPase OPA1, mitochondrial	OPA1	810120	1285782.05886017	0.630060121322708	0.241670300831747	-0.666438595487961	Nonsignificant	None
O60462	Neuropilin-2	NRP2	14962	53981.882634211	0.277167065502044	0.0451727068578208	-1.85117225609811	Significant	down
O60488	Long-chain-fatty-acid--CoA ligase 4	ACSL4	424780	285002.317691025	1.49044401968867	0.380749338062316	0.575742189462449	Nonsignificant	None
O60506	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	28650000	34122351.9375375	0.839625593582913	0.361725091448034	-0.252181951158218	Nonsignificant	None
O60547	GDP-mannose 4,6 dehydratase	GMDS	177640	210930.090387124	0.842174768303441	0.363099139717087	-0.247808442116989	Nonsignificant	None
O60563	Cyclin-T1	CCNT1	166310	481215.370349101	0.345604089660206	0.0768138411603209	-1.53280780534435	Nonsignificant	None
O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	BUB1B	332900	130049.909658922	2.559786476385	0.187429137101304	1.3560234733862	Nonsignificant	None
O60568	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	PLOD3	254020	230665.743859747	1.10124718022479	0.4896363944517	0.1391383250881	Nonsignificant	None
